First.name;Last.name;GP ;Sub ;G ;A ;YC ;RC ;Min ;Con ;CS ;Team
Tim;Söderström;-;-;-;-;-;-;-;-;-;Djurgårdens IF
Johan;Brattberg;0;0;0;0;0;0;0;0;0;Falkenbergs FF
Otto;Martler;30;0;0;0;0;0;2700;49;6;Falkenbergs FF
Rasmus;Rydén;0;0;0;0;0;0;0;0;0;Falkenbergs FF
Adam;Eriksson;27;0;0;4;0;0;2430;-;-;Falkenbergs FF
Andrés;Thorleifsson;7;4;0;0;0;0;325;-;-;Falkenbergs FF
Daniel;Johansson;30;0;1;0;0;0;2700;-;-;Falkenbergs FF
Johan;Marting;-;-;-;-;-;-;-;-;-;Falkenbergs FF
Junaid;Sait;0;0;0;0;0;0;0;-;-;Falkenbergs FF
Per;Karlsson;11;4;0;0;0;0;679;-;-;Falkenbergs FF
Rasmus;Sjöstedt;27;2;0;1;2;0;2260;-;-;Falkenbergs FF
Tibor;Joza;6;1;0;0;0;0;456;-;-;Falkenbergs FF
Tobias;Karlsson;26;0;2;0;7;0;2340;-;-;Falkenbergs FF
Anton;Wede;30;1;5;5;2;0;2501;-;-;Falkenbergs FF
Arben;Ajdarevic;-;-;-;-;-;-;-;-;-;Falkenbergs FF
Carl;Wede;29;2;1;5;2;1;2389;-;-;Falkenbergs FF
Carl-Oskar;Andersson;13;13;2;1;0;0;217;-;-;Falkenbergs FF
Christoffer;Carlsson;21;5;0;2;3;0;1400;-;-;Falkenbergs FF
Daniel;Keat;26;6;4;0;5;0;1863;-;-;Falkenbergs FF
David;Svensson;26;3;1;0;5;0;1980;-;-;Falkenbergs FF
Felix;Johansson;0;0;0;0;0;0;0;-;-;Falkenbergs FF
Halldor;Björnsson;11;4;0;2;1;0;647;-;-;Falkenbergs FF
Hampus;Svensson;0;0;0;0;0;0;0;-;-;Falkenbergs FF
Johan;Svahn;-;-;-;-;-;-;-;-;-;Falkenbergs FF
Johannes;Vall;22;19;4;0;1;0;705;-;-;Falkenbergs FF
Rasmus;Andersson;1;1;0;0;0;0;1;-;-;Falkenbergs FF
Godsway;Donyoh;16;5;4;0;3;0;871;-;-;Falkenbergs FF
Gustaf;Nilsson;5;5;1;0;0;0;66;-;-;Falkenbergs FF
Matteo;Blomqvist-Zampi;0;0;0;0;0;0;0;-;-;Falkenbergs FF
