STA;INB;UTB;MÅL;SPM;STM;FRM;HÖM;PAS;POÄ;VAR;UTV;OFF;ORS;TIS;ORF;TIF;SKO;SKM;SKS;Team;First name;Last name
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Peter;Abrahamsson
7;6;6;0;0;0;0;0;2;2;1;0;0;0;0;19;4;2;0;0;BK Häcken;Ivo;Pekalski
11;2;0;9;6;2;0;0;1;10;2;0;6;0;1;12;11;49;23;1;Djurgårdens IF;Erton;Fejzullahu
13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;8;8;2;0;Djurgårdens IF;Fredrik;Stenman
3;1;1;0;0;0;0;0;0;0;1;0;0;1;0;3;0;2;1;0;Djurgårdens IF;Mattias;Östberg
14;7;6;1;1;0;0;0;1;2;1;0;0;0;0;19;9;13;6;0;Djurgårdens IF;Andreas;Johansson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Eric;Dahlgren
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;Djurgårdens IF;Kenneth;Høie
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Tim;Söderström
11;0;1;0;0;0;0;0;0;0;2;0;0;0;0;8;8;5;1;0;Djurgårdens IF;Daniel;Amartey
14;0;1;0;0;0;0;0;0;0;1;0;0;0;0;13;8;4;2;0;Djurgårdens IF;Vytautas;Andriuskevicius
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Frej;Engberg
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Jakob;Glasberg
2;13;1;1;1;0;0;0;2;3;1;0;0;0;0;3;7;8;5;0;Djurgårdens IF;Mark;Mayambela
9;8;4;5;4;0;0;0;1;6;0;0;12;0;0;18;8;33;12;1;Djurgårdens IF;Aleksandar;Prijovic
0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;Djurgårdens IF;Christian;Sivodedov
11;2;5;6;3;0;0;0;0;6;1;0;6;0;0;11;12;37;21;1;Djurgårdens IF;Sebastian;Andersson
5;5;2;0;0;0;0;0;0;0;1;1;0;0;0;12;7;5;1;0;Djurgårdens IF;Yussif;Chibsah
